
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
66,Humberto Arteaga\arteahu01,27,WSN,4,.000,-127,.000,.000,0.0%,0.0%,0.0%,73.5,0.0%,25.0%,50.0%,25.0%,1.00,25.0%,75.0%,0.0%,0.0,0.0%,-0.6
67,Aaron Ashby\ashbyaa01,23,MIL,4,.232,6,,.000,0.0%,50.0%,25.0%,45.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3
68,Willians Astudillo\astudwi01,29,MIN,216,.276,72,.221,.139,3.2%,5.6%,1.4%,85.9,33.2%,23.4%,41.1%,22.3%,0.70,27.4%,56.3%,16.2%,-1.6,-0.4%,-14.1
69,Alex Avila\avilaal01,34,WSN,111,.312,94,.314,.157,0.9%,33.3%,17.1%,87.3,43.4%,22.6%,41.5%,32.1%,0.73,35.8%,54.7%,9.4%,-0.6,-0.2%,-4.5
70,Pedro Avila\avilape01,24,SDP,1,.000,-124,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
71,Akil Baddoo\baddoak01,22,DET,461,.333,108,.335,.177,2.8%,26.5%,9.8%,86.0,32.3%,22.8%,40.5%,30.6%,0.68,33.0%,47.3%,19.7%,1.2,0.5%,12.3
72,Harrison Bader\baderha01,27,STL,401,.334,110,.306,.193,4.0%,21.2%,6.7%,86.2,31.7%,18.0%,44.0%,28.2%,0.79,28.2%,52.1%,19.7%,0.0,0.0%,2.9
73,Javier Baez\baezja01,28,TOT,547,.358,119,.352,.229,5.7%,33.6%,5.1%,89.7,45.3%,20.2%,46.7%,24.9%,0.89,30.2%,54.8%,15.0%,0.9,0.1%,19.0
74,Javier Baez\baezja01,28,CHC,361,.344,107,.330,.236,6.1%,36.3%,4.2%,90.5,47.1%,17.4%,48.3%,26.6%,0.94,30.0%,58.9%,11.1%,1.0,0.3%,11.0
75,Javier Baez\baezja01,28,NYM,186,.383,143,.390,.216,4.8%,28.5%,7.0%,88.2,42.1%,25.4%,43.9%,21.9%,0.79,30.7%,47.4%,21.9%,0.0,-0.2%,8.1
76,Anthony Banda\bandaan01,27,TOT,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,83.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9
77,Anthony Banda\bandaan01,27,NYM,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,83.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9
78,Caleb Baragar\baragca01,27,SFG,2,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5
